date,fes_scenario,climate_member,simultaneous_commissioning,staggered_commissioning,simultaneous_minus_staggered_mwh
2035-02-17,Electric Engagement,member_06,32900.0,9870.0,23030.0
2035-06-07,Holistic Transition,member_12,33370.0,10340.0,23030.0
2035-10-14,Electric Engagement,member_12,33840.0,10810.0,23030.0
2035-10-14,Electric Engagement,member_13,33840.0,10810.0,23030.0
2035-02-17,Electric Engagement,member_12,32900.0,9870.0,23030.0
2035-06-07,Electric Engagement,member_06,33370.0,10340.0,23030.0
2035-02-17,Holistic Transition,member_06,32900.0,9870.0,23030.0
2035-06-07,Electric Engagement,member_12,33370.0,10340.0,23030.0
2035-06-07,Electric Engagement,member_13,33370.0,10340.0,23030.0
2035-06-07,Holistic Transition,member_06,33370.0,10340.0,23030.0
2035-10-14,Electric Engagement,member_06,33840.0,10810.0,23030.0
2035-06-07,Holistic Transition,member_13,33370.0,10340.0,23030.0
2035-03-02,Holistic Transition,member_13,33370.0,10340.0,23030.0
2035-03-02,Holistic Transition,member_12,33370.0,10340.0,23030.0
2035-03-02,Holistic Transition,member_06,33370.0,10340.0,23030.0
2035-03-02,Electric Engagement,member_13,33370.0,10340.0,23030.0
2035-03-02,Electric Engagement,member_06,33370.0,10340.0,23030.0
2035-03-02,Electric Engagement,member_12,33370.0,10340.0,23030.0
2035-12-20,Holistic Transition,member_12,33840.0,11280.0,22560.0
2035-06-05,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-04-10,Holistic Transition,member_12,33370.0,10810.0,22560.0
2035-04-10,Holistic Transition,member_06,33370.0,10810.0,22560.0
2035-06-05,Holistic Transition,member_06,33840.0,11280.0,22560.0
2035-04-10,Electric Engagement,member_13,33370.0,10810.0,22560.0
2035-12-20,Holistic Transition,member_13,33840.0,11280.0,22560.0
2035-12-20,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-12-20,Holistic Transition,member_06,33840.0,11280.0,22560.0
2035-09-03,Holistic Transition,member_13,33840.0,11280.0,22560.0
2035-04-10,Electric Engagement,member_12,33370.0,10810.0,22560.0
2035-12-20,Electric Engagement,member_06,33840.0,11280.0,22560.0
2035-06-05,Holistic Transition,member_12,33840.0,11280.0,22560.0
2035-06-05,Holistic Transition,member_13,33840.0,11280.0,22560.0
2035-03-08,Holistic Transition,member_13,33840.0,11280.0,22560.0
2035-09-03,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-06-05,Electric Engagement,member_12,33840.0,11280.0,22560.0
2035-05-17,Holistic Transition,member_12,33840.0,11280.0,22560.0
2035-06-05,Electric Engagement,member_06,33840.0,11280.0,22560.0
2035-05-17,Electric Engagement,member_06,33840.0,11280.0,22560.0
2035-02-18,Holistic Transition,member_06,33840.0,11280.0,22560.0
2035-02-18,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-02-18,Electric Engagement,member_12,33840.0,11280.0,22560.0
2035-02-18,Electric Engagement,member_06,33840.0,11280.0,22560.0
2035-08-08,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-04-10,Electric Engagement,member_06,33370.0,10810.0,22560.0
2035-09-03,Electric Engagement,member_06,33840.0,11280.0,22560.0
2035-09-03,Electric Engagement,member_12,33840.0,11280.0,22560.0
2035-04-10,Holistic Transition,member_13,33370.0,10810.0,22560.0
2035-03-08,Electric Engagement,member_06,33840.0,11280.0,22560.0
2035-03-08,Electric Engagement,member_12,33840.0,11280.0,22560.0
2035-03-08,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-03-08,Holistic Transition,member_06,33840.0,11280.0,22560.0
2035-03-08,Holistic Transition,member_12,33840.0,11280.0,22560.0
2035-05-17,Holistic Transition,member_13,33840.0,11280.0,22560.0
2035-09-03,Holistic Transition,member_06,33840.0,11280.0,22560.0
2035-05-17,Holistic Transition,member_06,33840.0,11280.0,22560.0
2035-05-17,Electric Engagement,member_13,33840.0,11280.0,22560.0
2035-05-17,Electric Engagement,member_12,33840.0,11280.0,22560.0
2035-09-03,Holistic Transition,member_12,33840.0,11280.0,22560.0
2035-08-08,Electric Engagement,member_06,33705.28,11280.0,22425.281
2035-12-20,Electric Engagement,member_12,33560.79,11280.0,22280.79
2035-08-31,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-04-12,Electric Engagement,member_12,32900.0,10810.0,22090.0
2035-07-23,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-04-18,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-04-18,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-04-18,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-08-31,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-08-31,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-08-31,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-08-31,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-05-23,Electric Engagement,member_13,32900.0,10810.0,22090.0
2035-08-31,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-09-02,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-03-04,Electric Engagement,member_06,32900.0,10810.0,22090.0
2035-03-04,Electric Engagement,member_12,32900.0,10810.0,22090.0
2035-03-04,Electric Engagement,member_13,32900.0,10810.0,22090.0
2035-03-04,Holistic Transition,member_06,32900.0,10810.0,22090.0
2035-03-04,Holistic Transition,member_12,32900.0,10810.0,22090.0
2035-03-04,Holistic Transition,member_13,32900.0,10810.0,22090.0
2035-02-14,Holistic Transition,member_13,33370.0,11280.0,22090.0
2035-02-14,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-02-14,Holistic Transition,member_06,33370.0,11280.0,22090.0
2035-02-14,Electric Engagement,member_13,33370.0,11280.0,22090.0
2035-02-14,Electric Engagement,member_12,33370.0,11280.0,22090.0
2035-02-14,Electric Engagement,member_06,33370.0,11280.0,22090.0
2035-04-18,Holistic Transition,member_12,33370.0,11280.0,22090.0
2035-09-02,Holistic Transition,member_13,33370.0,11280.0,22090.0
