fes_scenario,climate_member,weather_year_role,smr_case,cumulative_smr_energy_twh,cumulative_gas_displacement_twh,cumulative_surplus_energy_twh,total_surplus_hours,total_low_wind_hours,total_low_wind_support_hours,average_residual_before_mw,average_residual_after_mw,average_residual_demand_reduction_mw,average_gas_displacement_proxy_mw
Electric Engagement,member_06,average_wind,simultaneous_commissioning,129.6636,60.343024183533714,2013.4287945454175,76508,17611,9060,-4964.303331850329,-5888.781429044032,924.478097193703,430.2348860906749
Electric Engagement,member_06,average_wind,staggered_commissioning,117.94791,55.31894813635443,2006.737180592597,76348,17611,9038,-4964.303331850329,-5805.250671001595,840.9473391512663,394.4141294230153
Electric Engagement,member_06,high_wind,simultaneous_commissioning,129.6636,59.1705321758402,2042.6281353027796,77524,14241,7090,-4964.3033318503285,-5888.781429044031,924.478097193703,421.8752294079411
Electric Engagement,member_06,high_wind,staggered_commissioning,117.94791,54.21727060682048,2035.8657068717991,77377,14241,7070,-4964.3033318503285,-5805.250671001594,840.9473391512663,386.5593672058271
Electric Engagement,member_06,low_wind,simultaneous_commissioning,129.6636,60.42693189267888,2051.470997246004,75751,12279,5842,-4964.3033318503285,-5888.781429044031,924.478097193703,430.83313293319986
Electric Engagement,member_06,low_wind,staggered_commissioning,117.94791,55.40197576549988,2044.7802633731833,75578,12279,5828,-4964.3033318503285,-5805.250671001594,840.9473391512663,395.00610145376936
Electric Engagement,member_12,average_wind,simultaneous_commissioning,129.6636,60.30434942340443,1996.055614710704,76619,17611,9027,-4964.30333185033,-5888.781429044034,924.478097193703,429.9591420217633
Electric Engagement,member_12,average_wind,staggered_commissioning,117.94791,55.17157077567702,1989.472703358431,76430,17611,9006,-4964.30333185033,-5805.250671001597,840.9473391512663,393.3633554049525
Electric Engagement,member_12,high_wind,simultaneous_commissioning,129.6636,58.880500208944326,2028.262433353963,77938,14241,7070,-4964.30333185033,-5888.781429044033,924.478097193703,419.8073537598699
Electric Engagement,member_12,high_wind,staggered_commissioning,117.94791,53.827710351580414,2021.5995332113268,77772,14241,7050,-4964.30333185033,-5805.250671001596,840.9473391512663,383.7818728010239
Electric Engagement,member_12,low_wind,simultaneous_commissioning,129.6636,60.19449656279297,2066.3959222009225,76067,12279,5838,-4964.30333185033,-5888.781429044033,924.478097193703,429.1759109256856
Electric Engagement,member_12,low_wind,staggered_commissioning,117.94791,55.05136670098783,2059.8233620627275,75896,12279,5824,-4964.30333185033,-5805.250671001596,840.9473391512663,392.50632201822265
Electric Engagement,member_13,average_wind,simultaneous_commissioning,129.6636,60.13326438743075,2006.02227825104,76806,17611,9090,-4964.303331850331,-5888.781429044035,924.478097193703,428.7393365519533
Electric Engagement,member_13,average_wind,staggered_commissioning,117.94791,55.10684185066247,1999.3330107878085,76655,17611,9068,-4964.303331850331,-5805.250671001598,840.9473391512663,392.9018498364595
Electric Engagement,member_13,high_wind,simultaneous_commissioning,129.6636,59.20683872408947,2036.3147616055403,77603,14241,7105,-4964.30333185033,-5888.781429044033,924.478097193703,422.13408855299934
Electric Engagement,member_13,high_wind,staggered_commissioning,117.94791,54.208268090568126,2029.597642239062,77430,14241,7085,-4964.30333185033,-5805.250671001596,840.9473391512663,386.4951808875778
Electric Engagement,member_13,low_wind,simultaneous_commissioning,129.6636,60.48874854604679,2054.366664822015,75658,12279,5855,-4964.30333185033,-5888.781429044033,924.478097193703,431.2738745297655
Electric Engagement,member_13,low_wind,staggered_commissioning,117.94791,55.42192350900782,2047.7177998590544,75500,12279,5841,-4964.30333185033,-5805.250671001596,840.9473391512663,395.148325269563
Holistic Transition,member_06,average_wind,simultaneous_commissioning,129.6636,56.033361957820105,2313.254477840498,81504,16108,8547,-8287.494567875883,-9211.972665069585,924.478097193703,399.5077712028014
Holistic Transition,member_06,average_wind,staggered_commissioning,117.94791,51.733330045267955,2305.83881975305,81381,16108,8531,-8287.494567875883,-9128.441907027149,840.9473391512663,368.8493187119834
Holistic Transition,member_06,high_wind,simultaneous_commissioning,129.6636,53.87097333864212,2325.2727224096566,83546,12889,6556,-8287.494567875883,-9211.972665069588,924.478097193703,384.09033010097335
Holistic Transition,member_06,high_wind,staggered_commissioning,117.94791,49.73547358392947,2317.692532164369,83421,12889,6538,-8287.494567875883,-9128.44190702715,840.9473391512663,354.60496223997177
Holistic Transition,member_06,low_wind,simultaneous_commissioning,129.6636,56.13896948639729,2338.4690382131826,80846,11026,5371,-8287.494567875883,-9211.972665069585,924.478097193703,400.260733846661
